Fecha,Producto,Precio Frecuente,Estado
24/12/2025,Huevo blanco,36.88,SON
24/12/2025,Huevo blanco,41.77,SON
31/12/2025,Huevo blanco,33.33,SON
31/12/2025,Huevo blanco,41.77,SON
08/01/2025,Huevo blanco,45.55,SON
08/01/2025,Huevo blanco,48.88,SON
15/01/2025,Huevo blanco,45.55,SON
15/01/2025,Huevo blanco,48.88,SON
22/01/2025,Huevo blanco,45.55,SON
22/01/2025,Huevo blanco,46.22,SON
29/01/2025,Huevo blanco,45.55,SON
29/01/2025,Huevo blanco,46.22,SON
07/01/2026,Huevo blanco,42.66,SON
14/01/2026,Huevo blanco,42.66,SON
21/01/2026,Huevo blanco,31.11,SON
28/01/2026,Huevo blanco,31.11,SON
07/01/2026,Huevo blanco,33.33,SON
07/01/2026,Huevo blanco,35.77,SON
14/01/2026,Huevo blanco,27.78,SON
14/01/2026,Huevo blanco,33.33,SON
21/01/2026,Huevo blanco,27.78,SON
21/01/2026,Huevo blanco,33.33,SON
28/01/2026,Huevo blanco,32.66,SON
28/01/2026,Huevo blanco,34.66,SON
03/01/2024,Huevo blanco,35.0,YUC
10/01/2024,Huevo blanco,34.0,YUC
17/01/2024,Huevo blanco,35.0,YUC
24/01/2024,Huevo blanco,40.0,YUC
31/01/2024,Huevo blanco,44.0,YUC
04/12/2024,Huevo blanco,34.0,YUC
11/12/2024,Huevo blanco,33.0,YUC
18/12/2024,Huevo blanco,32.0,YUC
25/12/2024,Huevo blanco,32.0,YUC
03/12/2025,Huevo blanco,33.0,YUC
03/12/2025,Huevo blanco,34.0,YUC
03/12/2025,Huevo blanco,45.0,YUC
10/12/2025,Huevo blanco,32.0,YUC
10/12/2025,Huevo blanco,33.0,YUC
10/12/2025,Huevo blanco,45.0,YUC
17/12/2025,Huevo blanco,30.0,YUC
17/12/2025,Huevo blanco,32.0,YUC
17/12/2025,Huevo blanco,45.0,YUC
24/12/2025,Huevo blanco,30.0,YUC
24/12/2025,Huevo blanco,32.0,YUC
24/12/2025,Huevo blanco,45.0,YUC
31/12/2025,Huevo blanco,30.0,YUC
31/12/2025,Huevo blanco,32.0,YUC
31/12/2025,Huevo blanco,45.0,YUC
08/01/2025,Huevo blanco,32.0,YUC
08/01/2025,Huevo blanco,34.0,YUC
08/01/2025,Huevo blanco,45.0,YUC
15/01/2025,Huevo blanco,32.0,YUC
15/01/2025,Huevo blanco,34.0,YUC
15/01/2025,Huevo blanco,44.0,YUC
22/01/2025,Huevo blanco,32.0,YUC
22/01/2025,Huevo blanco,34.0,YUC
22/01/2025,Huevo blanco,45.0,YUC
29/01/2025,Huevo blanco,32.0,YUC
29/01/2025,Huevo blanco,34.0,YUC
29/01/2025,Huevo blanco,45.0,YUC
14/01/2026,Huevo blanco,30.0,YUC
14/01/2026,Huevo blanco,32.0,YUC
14/01/2026,Huevo blanco,45.0,YUC
21/01/2026,Huevo blanco,28.0,YUC
21/01/2026,Huevo blanco,32.0,YUC
21/01/2026,Huevo blanco,42.0,YUC
28/01/2026,Huevo blanco,30.0,YUC
28/01/2026,Huevo blanco,32.0,YUC
28/01/2026,Huevo blanco,45.0,YUC
